epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56209,2.19073,3.16318,1.75459,0.01289,0.14834,0.00971,0.00347,2.06527,3.33517,1.5877,2e-05,2e-05,2e-05
2,2.41514,2.26981,3.26852,1.84232,0.01311,0.1509,0.00985,0.00357,2.05136,3.33815,1.57559,5.9406e-05,5.9406e-05,5.9406e-05
3,3.10055,2.16804,3.27453,1.82619,0.07129,0.09719,0.04392,0.01773,2.00509,2.71945,1.61426,9.802e-05,9.802e-05,9.802e-05
4,3.9736,1.94249,2.08672,1.63082,0.29948,0.42422,0.30736,0.14687,1.87073,4.39772,1.56324,0.000135842,0.000135842,0.000135842
5,4.78841,1.79535,1.74548,1.60465,0.44684,0.42199,0.4117,0.21338,1.67895,4.68165,1.44509,0.000172872,0.000172872,0.000172872
6,5.56193,1.88802,1.45747,1.52401,0.40704,0.46036,0.42111,0.22493,1.66344,5.12949,1.3568,0.00020911,0.00020911,0.00020911
7,6.32739,1.64385,1.35427,1.36735,0.44219,0.48593,0.46409,0.21651,1.73814,6.55498,1.37094,0.000244556,0.000244556,0.000244556
8,7.12907,1.64725,1.46498,1.49669,0.57848,0.54476,0.59173,0.3208,1.53562,3.66514,1.24305,0.00027921,0.00027921,0.00027921
9,7.90659,1.40964,1.22252,1.22869,0.66057,0.55754,0.66521,0.37942,1.3615,2.66569,1.17442,0.000313072,0.000313072,0.000313072
10,8.7275,1.33424,1.12335,1.21357,0.74839,0.56777,0.68009,0.39674,1.36524,2.25816,1.19803,0.000346142,0.000346142,0.000346142
11,9.51295,1.38785,0.99391,1.13812,0.72573,0.5422,0.6389,0.3297,1.64227,2.56433,1.35677,0.00037842,0.00037842,0.00037842
12,10.253,1.48219,1.11025,1.22556,0.72573,0.5422,0.6389,0.3297,1.64227,2.56433,1.35677,0.000409906,0.000409906,0.000409906
13,11.1481,1.40954,0.97466,1.16187,0.63628,0.56777,0.64945,0.35201,1.576,2.07662,1.30709,0.0004406,0.0004406,0.0004406
14,11.9388,1.34777,0.92816,1.13535,0.72526,0.67519,0.78125,0.48588,1.24543,1.40855,1.11519,0.000470502,0.000470502,0.000470502
15,12.7478,1.32646,0.96825,1.151,0.72526,0.67519,0.78125,0.48588,1.24543,1.40855,1.11519,0.000499612,0.000499612,0.000499612
16,13.5302,1.25719,0.92785,1.11287,0.6995,0.76215,0.7898,0.50425,1.25702,1.12388,1.12579,0.00052793,0.00052793,0.00052793
17,14.3251,1.30385,0.9034,1.11354,0.72643,0.711,0.76924,0.45791,1.35821,1.05733,1.17553,0.000555456,0.000555456,0.000555456
18,15.0758,1.19979,0.8277,1.03218,0.72643,0.711,0.76924,0.45791,1.35821,1.05733,1.17553,0.00058219,0.00058219,0.00058219
19,15.828,1.12747,0.85231,1.07038,0.77531,0.68286,0.78222,0.45956,1.37264,0.9855,1.17524,0.000608132,0.000608132,0.000608132
20,16.5873,1.17176,0.82075,1.06647,0.77531,0.68286,0.78222,0.45956,1.37264,0.9855,1.17524,0.000633282,0.000633282,0.000633282
21,17.409,1.17236,0.83712,1.05973,0.76939,0.75941,0.81077,0.50297,1.21755,0.8994,1.093,0.00065764,0.00065764,0.00065764
22,18.5245,1.15891,0.84886,1.06275,0.76939,0.75941,0.81077,0.50297,1.21755,0.8994,1.093,0.000681206,0.000681206,0.000681206
23,19.8675,1.14415,0.82113,1.08827,0.84376,0.77343,0.85061,0.548,1.15072,0.94771,1.05843,0.00070398,0.00070398,0.00070398
24,21.2738,1.12207,0.79827,1.0432,0.84376,0.77343,0.85061,0.548,1.15072,0.94771,1.05843,0.000725962,0.000725962,0.000725962
25,22.4745,1.09323,0.78465,1.02637,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.000747152,0.000747152,0.000747152
26,23.2872,1.09558,0.76243,1.02901,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.00076755,0.00076755,0.00076755
27,24.1025,1.08519,0.74516,1.04423,0.8842,0.79795,0.87684,0.56382,1.17285,0.88514,1.08849,0.000787156,0.000787156,0.000787156
