epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37377,1.69446,2.34511,1.37508,0.52566,0.49225,0.5389,0.32739,1.27047,3.84018,1.18806,0.0002,0.0002,0.0002
2,5.98682,1.48124,1.16473,1.15374,0.55793,0.61258,0.60435,0.31874,1.61732,3.08463,1.30374,0.000417228,0.000417228,0.000417228
3,8.66124,1.46594,1.04844,1.12192,0.69727,0.68596,0.75033,0.43555,1.40096,1.31917,1.16152,0.000631552,0.000631552,0.000631552
4,11.7585,1.29386,0.92903,1.08438,0.71909,0.66545,0.75243,0.46816,1.2006,1.09381,1.09548,0.000842972,0.000842972,0.000842972
5,15.4158,1.22361,0.86325,1.04707,0.79159,0.74097,0.819,0.53067,1.12572,0.87413,1.02056,0.00105149,0.00105149,0.00105149
6,18.924,1.30342,0.87741,1.08151,0.79975,0.72151,0.81552,0.51815,1.16783,0.99814,1.04543,0.0012571,0.0012571,0.0012571
7,21.4574,1.19436,0.84028,1.04632,0.81391,0.73063,0.82723,0.51395,1.17132,0.98673,1.03016,0.00145981,0.00145981,0.00145981
8,23.5428,1.22807,0.81033,1.04901,0.7961,0.72653,0.82205,0.5203,1.14704,1.0438,1.01176,0.00165961,0.00165961,0.00165961
9,25.608,1.20086,0.80886,1.04883,0.65151,0.78565,0.65173,0.44266,1.00519,1.53932,0.97836,0.00185651,0.00185651,0.00185651
10,27.7334,1.17414,0.78003,1.02438,0.72489,0.75706,0.75382,0.50804,1.06553,0.93022,0.99215,0.0018812,0.0018812,0.0018812
11,30.1801,1.21495,0.77779,1.03454,0.74499,0.77897,0.83129,0.5698,1.01945,0.78569,0.96575,0.001868,0.001868,0.001868
12,33.347,1.10383,0.71998,0.99376,0.84903,0.80082,0.87924,0.59899,1.00186,0.97379,0.96414,0.0018548,0.0018548,0.0018548
13,36.6252,1.08389,0.71355,0.98323,0.8516,0.76436,0.85084,0.59412,0.99447,0.85066,0.96512,0.0018416,0.0018416,0.0018416
14,39.2319,1.06878,0.69528,0.98521,0.8435,0.76436,0.85537,0.60762,0.98358,0.78232,0.96279,0.0018284,0.0018284,0.0018284
15,42.0695,1.06231,0.73142,0.9916,0.8571,0.80447,0.88092,0.61754,0.97841,0.7027,0.961,0.0018152,0.0018152,0.0018152
16,44.9514,1.06742,0.70161,0.98494,0.87205,0.81677,0.88549,0.63013,0.94666,0.65607,0.94225,0.001802,0.001802,0.001802
17,48.2733,1.04736,0.67151,0.96609,0.87791,0.82922,0.89707,0.63135,0.93645,0.71534,0.93724,0.0017888,0.0017888,0.0017888
18,50.8506,1.05328,0.69408,0.96969,0.87914,0.83956,0.89803,0.64378,0.88811,0.65861,0.92429,0.0017756,0.0017756,0.0017756
19,53.106,1.07638,0.689,0.97741,0.85939,0.84409,0.89509,0.63086,0.94458,0.65145,0.93565,0.0017624,0.0017624,0.0017624
